part_number,description,manufacturer,part_type_name,unit_of_measure,tracking_class,is_serialized,lot_tracking,has_shelf_life,shelf_life_days,has_own_logbook,is_hazmat,track_tsn,track_tso,track_csn,track_cso,track_hobbs,review_status,is_active
SYRINX-ENG-001,Syrinx Turboprop Engine PT6-Aero (Demo),Syrinx Aero Engines Ltd.,Engine,each,asset,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,to_review,TRUE
SYRINX-FCU-001,Syrinx Fuel Control Unit (Demo),Syrinx Aero Engines Ltd.,Rotable,each,inventory,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,to_review,TRUE
SYRINX-OIL-PUMP-001,Syrinx Oil Pump Assembly (Demo),Syrinx Aero Engines Ltd.,Rotable,each,inventory,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,to_review,TRUE
SYRINX-STG-001,Syrinx Starter-Generator (Demo),Syrinx Aero Engines Ltd.,Rotable,each,inventory,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,to_review,TRUE
REMIGE-PROP-001,Remige Propeller Assembly 4-Blade (Demo),Remige Propulsion Inc.,Propeller,each,asset,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,to_review,TRUE
REMIGE-BLADE-001,Remige Propeller Blade (Demo),Remige Propulsion Inc.,Rotable,each,asset,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,to_review,TRUE
REMIGE-HUB-001,Remige Propeller Hub Assembly (Demo),Remige Propulsion Inc.,Rotable,each,asset,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,to_review,TRUE
CARINA-ACT-001,Carina Flap Actuator Assembly (Demo),Carina Dynamics Corp.,Repairable Part,each,inventory,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,to_review,TRUE
GESIER-HYD-001,Gesier Hydraulic Pump Assembly HF34 (Demo),Gesier Fluid Systems,Rotable,each,inventory,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,to_review,TRUE
UROPYGIAL-OFLT-001,Uropygial Oil Filter HF34 Type A (Demo),Uropygial Filtration,Consumable,each,consumable,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,to_review,TRUE
UROPYGIAL-OFLT-002,Uropygial Oil Filter HF34 Type B (Demo),Aves Filtration Ltd.,Consumable,each,consumable,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,to_review,TRUE
UROPYGIAL-OFLT-003,Uropygial Oil Filter HF34 Type C (Demo),Plumage Parts Inc.,Consumable,each,consumable,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,to_review,TRUE
JABOT-FUEL-001,Jabot Fuel Accumulator (Demo),Jabot Aero Systems,Rotable,each,inventory,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,to_review,TRUE
FURCULA-TW-001,Furcula Torque Wrench 3/8Dr 0-100 ft-lb (Demo),Furcula Tools Inc.,Tool / GSE,each,asset,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,to_review,TRUE
FURCULA-TW-002,Furcula Torque Wrench 1/2Dr 0-250 ft-lb (Demo),Furcula Tools Inc.,Tool / GSE,each,asset,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,to_review,TRUE
HUPPE-XPDR-001,Huppe Mode S Transponder (Demo),Huppe Avionics Corp.,Avionics,each,inventory,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,to_review,TRUE
TARSE-LG-001,Tarse Landing Gear Torque Link HF34 (Demo),Tarse Structures Ltd.,Repairable Part,each,inventory,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,to_review,TRUE
GEN-HYD-5606H,Hydraulic Fluid MIL-PRF-5606H Qt (Demo),,Consumable,quart,consumable,FALSE,FALSE,TRUE,1825,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,to_review,TRUE
GEN-BATTERY-12V,Lead-Acid Battery 12V (Demo),,Part,each,inventory,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,to_review,TRUE
PATAGIUM-SEAL-001,Patagium Wing Root Seal Kit HF34 (Demo),Patagium Seals Inc.,Consumable,each,consumable,FALSE,FALSE,TRUE,730,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,to_review,TRUE
TIO-873-AE5A,ENGINE PISTON LYCOMING,,Engine,each,asset,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,to_review,TRUE
PT9A90B-PS,ENGINE POWER SECTION,,Engine,each,asset,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,to_review,TRUE
TPE664-45UHR,ENGINE JETSTREAM 32 MODEL TPE331-12UHR,,Engine,each,asset,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,to_review,TRUE
9381T16G34,CT7-9B (HARFANG ENGINE),,Engine,each,asset,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,to_review,TRUE
HC-E7A-6D/E43700K,PROP HARTZELL (HB08/45 & 47 ONLY),,Propeller,each,asset,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,to_review,TRUE
7HFR67C986/L439FA,MCCAULEY PROPELLER,,Propeller,each,asset,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,to_review,TRUE
HC-E6YR-5ALTF,HARTZELL PROPELLER (HB08),,Propeller,each,asset,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,to_review,TRUE
R666/7-15/F45,PROPELLER (DOWTY),,Propeller,each,asset,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,to_review,TRUE
R623/7-456-F/50,HARFANG PROPELLER (DOWTY),,Propeller,each,asset,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,to_review,TRUE
HC-B7TN-8F,PROPELLER HARTZELL,,Propeller,each,asset,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,to_review,TRUE
9415-7,STEERING JACK,,Rotable,each,inventory,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,to_review,TRUE
120733-0,ENGINE DRIVEN FUEL PUMP,,Rotable,each,inventory,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,to_review,TRUE
RCA03-34,PAX O2 ALTIMETRIC REGULATOR,,Rotable,each,inventory,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,to_review,TRUE
